domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,unique_macros_used,macros_generated,total_walker_paths,total_walker_actions_generated,walker_average_branching_factor,walker_median_branching_factor,walker_average_path_length,walker_median_path_length
miconic,s16-3.pddl,greedyResumeWalker, ,success,12992,1s_easy,67.0,1,0,1094,273,10063, ,67,0.1820595,0.0199889,96,117668.0,True,True,True,10,3,2,100,33753,8368910,32,32,6,6
miconic,s16-4.pddl,greedyResumeWalker, ,success,13116,1s_easy,72.0,1,0,1158,289,11145, ,72,0.1233042,0.0119978,96,109548.0,True,True,True,6,2,2,100,34475,8536771,32,32,6,6
miconic,s17-0.pddl,greedyResumeWalker, ,success,15476,1s_easy,76.0,1,0,1742,435,16369, ,76,0.21184409999999998,0.0279991,102,113775.0,True,True,True,9,3,1,100,32290,8556683,34,34,6,6
miconic,s17-1.pddl,greedyResumeWalker, ,success,15236,1s_easy,78.0,1,0,1486,371,14410, ,78,0.1159984,0.0119989,102,107510.0,True,True,True,4,2,2,100,28490,7561702,34,34,6,6
miconic,s17-2.pddl,greedyResumeWalker, ,success,15228,1s_easy,83.0,1,0,1466,366,15207, ,83,0.1738834,0.0200014,102,109854.0,True,True,True,6,3,1,100,30549,8018675,34,34,6,6
miconic,s17-3.pddl,greedyResumeWalker, ,success,16152,1s_easy,84.0,1,0,1718,429,14823, ,84,0.20199910000000001,0.0279991,102,111299.0,True,True,True,2,1,1,100,25746,6960318,34,34,6,6
miconic,s17-4.pddl,greedyResumeWalker, ,success,15104,1s_easy,68.0,1,0,1230,307,12251, ,68,0.19562480000000002,0.0199992,102,120007.0,True,True,True,0,0,0,100,29987,7958952,33,34,6,6
miconic,s18-0.pddl,greedyResumeWalker, ,success,16092,1s_easy,80.0,1,0,1506,376,15938, ,80,0.2405968,0.0239994,108,105582.0,True,True,True,0,0,0,100,25124,7359181,36,36,6,6
miconic,s18-1.pddl,greedyResumeWalker, ,success,15828,1s_easy,76.0,1,0,1414,353,14916, ,76,0.1519819,0.0199913,108,108940.0,True,True,True,2,1,1,100,28865,8454773,36,36,6,6
miconic,s18-2.pddl,greedyResumeWalker, ,success,15952,1s_easy,83.0,1,0,1562,390,15941, ,83,0.2216066,0.0279991,108,106323.0,True,True,True,0,0,0,100,24308,6992584,36,36,6,6
miconic,s18-3.pddl,greedyResumeWalker, ,success,16356,1s_easy,83.0,1,0,1686,421,17268, ,83,0.1719986,0.0199981,108,104204.0,True,True,True,0,0,0,100,23847,6936704,36,36,6,6
miconic,s18-4.pddl,greedyResumeWalker, ,success,15552,1s_easy,84.0,1,0,1674,418,15456, ,84,0.1279105,0.0159985,108,106140.0,True,True,True,0,0,0,100,27512,8073208,36,36,6,6
